Timestamp,Age,Gender,Education Qualification(mention the specialization),Year of completion,Are you happy with the program what you studied/studying? ,What made you choose this course(program)?,"Is your chosen course/program your first preference? If not, what was it?",What are the factors or circumstances that influenced you to change your preference? ,What are your short-term future career plans? ,"In the current competitive scenario, how stressful do you feel on a scale of 10",How do you manage your stress?,Is the present examination pattern assessing the student’s knowledge appropriate? Share your thoughts.,Provide your views on university entrance examinations,"Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Flipped class room – Reverse of traditional lectures. The lecture materials are read at home and self-learnt and problems are solved and doubts are cleared in classrooms.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Active learning: It’s a group-based learning. Active learning methods ask students to engage in           their learning by thinking, discussing, investigating, and creating.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Learning through doing projects and engages them with real life problems.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Hands-on-learning means learning by doing.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Gamified learning- Gamification in learning involves using game-based elements such as point scoring, peer competition, team work, score tables to drive engagement, help students assimilate new information and test their knowledge.]",How comfortably you learn on a scale of 1 to 10 when an instructor or friend explains the concept,"How comfortably you learn on a scale of 1 to 10 when   you self-learn using resources like online materials or videos, books, and resources.",What is your definition of success?,What do you want to achieve with your education?,"What are your suggestions to improve India’s education system to make it more knowledgeable and enjoyable?
 ",What is the reason behind your first preference?
10-04-2022 18:16,20,Female,B.Sc. Psychology ,05-01-2023,yes. very happy.,Career counseling,No. It was designing,"Career counseling, COVID",Masters in psychology,5,"Engage in sports, sleep",No. it is mainly theoretical and very impractical sometimes,"There was no entrance examination as such for me. it was purely based on my 12th CBSE score. I don't think it's an effective strategy to filter out students for this course, considering the fact that my 12th course didn't even have psychology as a subject. And i might have ended up having more aptitude for computer science and other science based subjects like physics and chemistry. ",1,3,2,3,3,10,9,"Being able to fully understand the concept and be satisfied with my level of knowledge about it, and also be able to answer any question relating to it. ",Help people,"Make it more practical and rule out rote learning(as only some people are good at rote learning while the others find it difficult to memorize thinks verbatum, and it is very unfair to them. ",
10-04-2022 20:06,21,Female,Computer Science ,6/30/2021,Yes,Personal Interest ,"No, My first preference was BE in CSE",Didn't get the seat in preferred college ,Want to work in a MNC in a developer profile ,8,By doing things i like ,It's mostly assessing our memorisation power and not the knowledge about the subject ,Some University exams are for name sake,4,3,1,1,1,9,9,Success is when we are self satisfied with whatever we are having and doing ,"All i want to achieve with my education is the independence or power to solve my problems on my own, and education gives that confidence to solve most problems by ourselves, and i want to achieve that confidence ","Make it reality based, more exposure to industrial real time projects. The more real time projects we do the more knowledge we will have on that subject.",
10-04-2022 23:03,22,Female,MSc business statistics ,5/30/2023,"Yes, I have chosen this subject based on my further plans.",I wanted to write actuaries paper and this subject was something which could help me achieve it.,"Yes, I wanted to pursue statistics as base and wanted to learn business as part of interest. ",Din't change preferences. ,For now just going in flow no plans so far. ,8,By talking with friends or exploring outside. ,"No, although exam need to conducted for our knowledge (I.e. how fat have we learnt and understood things). But feels like now q days exam is conducted only for marks.",Now that marks play major role. I feel the student who have the domain knowledge that they want to take isn't helping them to complete exam let it be whatsoever exam it is. ,4,5,5,4,4,8,9,Doing something that's impossible ,Nothing ,"1. Rather than following earlier english learning except them to follow indian traditional learning. 
2. Enjoy learning and studying not marks (don't let marks define your future or yourself)",
10-05-2022 09:36,23,Female,Msc in applied microbiology ,06-10-2023,Yes,It's quite interesting and always wants human resources ,Banking,Lack of government jobs and most probably the quota system,"Microbiologist, teacher",9,By distracting my self by doing my fav activities ,"I guess it's not
 It is more theoretical than practical ",I didn't have,3,2,1,3,1,7,9,Being happy with doing a work of own interests ,A job,Just kickoff the quota system,
10-07-2022 11:24,22,Male,Engineering Graduate ,08-01-2022,Yes,The never ending drill,Yes,NA,Hands on technology scale,5,By segregation of tasks ,Yes everything is great but again it's a people's perspective kind of thing,Looks good but home quota is a bizarre thing to have,4,4,5,5,3,7,8,That there is no pushing own self to get the work done at any point during the day,Impact all sections of the society be it rich poor big small far near ...anyone,Have less number of students in a class to focus more on each,
10-07-2022 11:55,21,Female,M.sc. Biotechnology ,05-04-2024,Yes,I love biology and i also learnt about biotech from my 12th biology book and it made me curious to learn and explore more in this field ,Yes,-,To get a job ,9,Sharing and venting it out how I'm feeling to my friends and family,"No. Exams are mark biased. I sometimes feel like to get good marks we just blindly read the lecture, without understanding the concepts because people don't value knowledge as much as they do for marks.",I haven't written one,3,3,5,5,4,6,9,Minimum efforts everyday ,No Idea ,#NAME?,
10-07-2022 16:13,24,Male,MSc Data Science ,5/13/2023,probably not to say,enthusiasm for upcoming or generating data,yes,"Google ADs , Big Data Analytics",Being a House Husband,9,"Guitar , Music , Solitude , Basketball",nope they are just assessing our mugging up powers ,never gave one so nope,3,3,2,2,4,8,9,Being Haapy and Unjudged ,some Knowledge which is applicable and basically happiness is what i seek,"please provide good teachers who have a passion for teaching, not just those who are here for salaries 
Please provide a specialization of any course at younger age so that the person might know what he wants at younger age and wont suffer after years of education",
10-07-2022 20:50,22,Female,Bsc,6/30/2021,Yes,My interest ,1st preference ,Society ,Data Analytics ,10,Diverting and going out,I personally don't think so. Its just testing the memory power,One exam cant decide the ability of person and many lost their career bcz of this,5,5,5,5,4,8,5,Follow your dream ,Teach the Society ,Do n learn will help more than the text book learning and all people are not same we cant judge the ability of fish by its tree climbing strength so I believe everyone has their own abilities with which they can shine. Teaching should be like to bring their talents out.,
10-07-2022 23:24,22,Male,M.Sc Data Science ,5/17/2023,No,Scope for job,Yes,Nil,Be strong I fundamentals required for career ,8,Take a break to diverte,"No,  The is not brought out from students ",Nil,1,3,1,1,1,10,10,Living up to self expectations ,Self content ,"Reverse engineering,  student should know why the subject is required rather teaching the subject with out telling what's the goal for the subject ",
10-08-2022 06:47,22,Female,Btech in electronics and communication ,05-10-2022,Yes,Flexibility of job opportunities ,"No, biotechnology ",The number of colleges providing this course was less ,Completing my masters degree,8,Talk to friends and family ,It depends from college to college in a country like india. There are universities whose exam patterns can be top notch and really be assessing the students knowledge but some universities are just conducting exams name sake ,They are much needed as they truly assess the potential of students ,4,5,4,5,5,9,7,"To be successful is to be confident with ones own skills that is built in a course of time and be the best at it , while enjoying it ",Self sustainability and peace of mind ,Make it student friendly ,
10-08-2022 14:59,22,Female,msc data science,06-08-2023,yes,Personal interest,yes,na,Job,4,Singing,Yes,Nil,1,5,2,3,4,7,7,Seld-dependent,Independence,Student-friendly,
10-08-2022 21:49,24,Female,Mtech,06-01-2023,Yes,I wanted to pursue masters from a college  with good lab facilities. ,Yes,Nil,Completing my master thesis,10,Eating n watching netflix,Nope,Pressurising,5,4,3,2,1,10,9,Being happy n satisisfied. ,Be a good person. ,More practical approach than theoritical. ,I liked the course
10-08-2022 21:50,22,Female,MSc,06-01-2023,No,Name of the college and name of the mentioned subjects in the course,MSc applied Statistics from symbiosis pune,The course fee and name of college ,Currently job for a couple of years,5,Songs dance exercises and laughter,No they rather assess my memory. I want it more project based where we apply what we learn but this is more just focused on typical school work and not of a PG course,They seem to be okay if they are fair ,4,2,3,1,5,7,9,Satisfaction and sense of contribution along with monetary gains is success,"Let's be honest, I want to achieve the career for which I chose this course and have a better package for which I chose this college.","Practice, interactive sessions, projects, hands on , minimum blackboard lecs and more practicals",Traditional lectures if teacher isn't interested makes everything boring and makes you hate the subject. It has its pros but then no creativity and action makes lectures boring uninteresting.
10-08-2022 21:52,22,Female,M.tech,10-08-2023,Yes,Interest,Yes,Nil,Get a high salary job,7,Controlling myself,Yeah. Out of box questions trigger the inner knowledge of us,"Its good . But when some of them get rank by copying, that creates an issue.",1,2,3,4,5,9,6,Proud words from my parents and closed ones,Knowledge ,Marks make the students stressed. We should not market them. ,My own interest 
10-08-2022 21:53,21,Female,B.E in CS,7/20/2022,Fine,Interest in technology ,Yes it was,None,To work with new technologies ,7,Netflix - movies,Not really. Need more logical approach for assessments.,Very rigid.,4,3,1,2,5,7,8,Mental peace ,Capability to do tasks by myself without anyone's assistance.,Stop pressuring students to get good marks. Focus more on teaching based on practical approach. ,Nothing in specific 
10-08-2022 21:55,21,Male,BSc (hons) Horticulture ,09-12-2022,Yes,Wanted to do unique ,"Yes, it was the first preference ",Nothing ,Still in confusion ,9,Drawing ,I don't think so. It's all about reservation ,It's kind of good,1,2,3,5,4,8,6,When other notify your good works and yours satisfaction ,I just wanted show I'm capable of doing anything ,"Reduce the reservations, so that may average students also get more chances",I wanted to be different 
10-08-2022 22:01,18,Male,Ii PUC,08-10-2022,Yes,Interest in said course,It was,----,Study well in xollege,2,I game ,"No, it isn't.",Hard to crack ,1,2,4,3,5,8,8,Doing something you love while earning enough ,A job I'll enjoy,Make it more hands-on. More learning on activities.,Seems like what would benefit a student 
10-08-2022 22:02,23,Female,Data Science,07-10-2023,No,"The name ""Data Science"" and the university VIT",M.Sc(Stastics) in Delhi University,Did not get selected in Delhi University,To earn 12-15 lakhs per annum,10,Try meditation,No. Just cramming the concepts and writing it on a sheet of paper does not improve the knowledge of a student,The theoritical part that university entrance examinations has does not imply that the student has a good knowledge of the subjects. ,1,3,4,5,2,8,10,A person is successful when he inspires others to be a better person.,To earn good and to make my parents proud of me,More interactive and more hands on training ,I think that the students will be able to learn at their own pace and then clarify their doubts easily from their teachers
10-08-2022 22:07,22,Male,Data Science ,06-12-2023,Yes ,For situation. ,Cybersecurity. ,Money. ,Become a good data analyst ,7,"Talking with friends, and playing games. ",Yes may be,Yeah it's good only. ,1,2,3,4,5,6,8,Money,Good position of job,Remove the fear of examinations. ,My interest 
10-08-2022 22:12,23,Female,Msc Business Statistics ,06-07-2023,yes,My internet of study,Yes,Staff and criculaum,Get place in good company ,8,Watching web series and Comedy shows,No,It should based on which course you chosse and overall knowledge,1,5,2,4,3,5,6,You should know deep knowlegde about basic as well as important concepts ,More application based knowledge,Make to more application based,No reason 
10-08-2022 22:12,22,Female,Mbbs,7/19/2000,No,Peer pressure,I wssnt clear about anything ,Parental pressure,Complete mbbs,10,Yoga,No,They r gpod but students should be given right orientation  ahout it,1,2,3,4,5,10,8,Happiness in work,Monetary freedom ..happiness in serving others,More practical based learning ,I didnt understand the question 
10-08-2022 22:15,21,Female,Bsc.Computer science ,05-12-2021,Yes,The booming growth of data science students and the demand for data scientist all across globe .,Yes ,No i didn't change ,To be a well versed data scientist in a company,7,By reading books and listening music,It's partial. Like we need more knowledge onhow to implement what we study .,There is no entrance exam for our course,3,2,4,5,1,9,10,To become a better version of myself than yesterday ,To be an entrepreneur ,To change the obsession with grades and marks and increase the practical knowledge of the particular field that the student is interested in .,Because I was interested in data science 
10-08-2022 22:16,21,Male,MSc Data Science,07-01-2023,Yes,Interest towards the subject statistics,No my first preference was MSc Statistics,Lack of Jobs for Statistics Post Graduates,"In the present situation of recession, somehow get an IT related Job, later on I guess my MSc Degree along with the experien e in the industry will be useful for me to get my Dream Role(Data Analyst)",10,I am unable to manage it.,"What I feel is curriculum is not at all correlating with what is required in the industry, I think that must be changed.",Post Covid many universities started giving admissions only based on Under Graduation/12 th Marks which must be changed. Entrance exam syllabus must be specific to the course(not generic),5,3,2,4,1,6,9,"If you are the living your life the way you aspired/dreamt of, that is Success for me",A Decent Job and Respect from the Society,Faculty Student interaction should improve,Gamified Learning is the one which I prefer which I think the current generation will be comfortable
10-08-2022 22:16,21,Female,M.Sc Data Science ,5/30/2023,Yes ,"I’m very enthusiast person towards collecting data, processing and knowing the outcomes and my favourite subject is statistics these made me chosen Data Science",Yes it was my first preference ,I didn’t changed my preference ,To become a Data Analyst ,7,"Yoga, Badminton",As my point of view they can change some aspects in examinations if it happened may it would be an appropriate ,It was good attempting an University Exam,5,1,2,3,4,10,8,Hard work and Smart work,Winning a university competition in badminton ,Don’t give class room knowledge to students relate the problems to real life and teach them how they are Turning out to be,Fond of Statistics and dealing with data
10-08-2022 22:17,23,Female,M.sc Datascience ,6/15/2023,Yes,Because these day where ever you data is generating so it is quite good to learn about data analysis ,Yes,No,As of to get in to a good data science company ,7,Listening to music,Exams and marks doesn't matter knowledge is more important ,It is good to conduct entrance exam so below average can't get in to that course and we will have less competition,4,2,3,1,5,8,7,Learn and get knowledge ,Good knowledge ,More more example of real projects or ask us to do projects on the subject what we learn during course ,I choose my comfort 
10-08-2022 22:17,23,Male,Msc Data Science ,8/30/2023,Yes,Data related things ,Yes,None,To be a data analyst and streamer,5,Games or series ,Yes it is because it is forcing you study all the topics somehow so you can increase your knowledge ,NIL,2,1,3,4,5,7,9,To reach my goal which is to get a decent job where I can fulfill my requirements and to become a good gamer and streamer ,To become a good human being who may be not good academically but good as a human being,Try to make courses which are more interactive so people will show eagerness to learn and also for everything show practical exam so people can implement those in real life,It’s fun to play with data and know more about data
10-08-2022 22:18,28,Male,Msc Data Science ,6/30/2023,Neutral,Career prospects,Yes,Better career,Internship,6,Music,Not all all appropriate. Its too academic and less practical. ,It only assess one aspect of intellect.,1,2,3,4,5,6,9,Independence and financial freedom. ,Financial freedom,More hands on and custom catered to each students skillset.,Career
10-08-2022 22:22,21,Male,Pursuing MBBS,3/24/2025,Yes,Inspiration from a teacher,"No, first I wanted to do something in science and engineering ",A 45 min class from my biology teacher ,Be a competent and knowledgeable clinician,8,"I don't know, probably overeating.... and I know it's bad",Naah. Writing subjective answers does no good. Objective exams always. They test you in and out and I feel they are the most effective way to assess a student and practical exams need way more attention and importance. Probably more than theory exams.,Good but a lot of things must improve,3,1,5,2,4,4,10,Being happy,The unthinkable ,Making the objective of education system Learning rather than studying. ,Simple.... active learing= longer retention.  You make your brain work in the most effective way
10-08-2022 22:27,20,Female,BSc EMS,08-01-2022,yes,for its opportunities and on demand career scope ,my first preference was to take cms having a computer background,peoples opinion on economics and the ever demand on it made me change my preference.,land in a data analyst role in a well known company ,6,"read novels, have a nature walk, and stare endlessly towards the sky",if the pattern had much more practical and industry based questions where you actually apply what we've leant would be a better way to conduct exams,not sure on this,1,2,4,5,3,8,5,when a person keeps trying even after successive failure. your effort and the willingness to keep going is success ,a meaningful life that i did justice to what i studied,"make it more practical
explain why certain things are in certain ways
have memory games
have games that include both your physical and mental games combined.",anything practical helps you understand better
10-08-2022 22:29,22,Female,Msc ,07-05-2023,Yes,Job oriented ,Yes,NA,Internship and a job ,5,Talking to mother ,Ok ok ,Nothing much ,5,2,3,4,1,9,7,To take care of my family ,Job ,Need practical knowledge ,Job oriented course 
10-08-2022 22:30,22,Female,Bsc(CME),10-08-2022,Yes,more innovative,yes,the combination,to be achiever,9,Spend time with family,Instead of keeping more questions it should be less no of questions which can cover more entire syllabus,50-50,1,2,3,5,4,10,10,Raising from failure,Everything possible,make it more practical,Maybe thought
10-08-2022 22:30,22,Female,Data Science ,6/13/2023,yes,Had a background of Statistics... so going with the most emerging felt like a good option. ,Applied Statistics ,number of seats are very less for applied and colleges as well,earning as much as I can,8,talking with friends ,somewhat yes,it's very different in direction than what we are taught to,4,2,1,3,5,7,8,Able to manage all the things in life without stress or frustration over basic need. And provide settled life to yourself and family. ,That's a Secret! ,Over intake of students shouldn't be there. And instead of workload should teach with practical things and engage students with knowledge ,As facing the reality of world ... we can clearly see how much important it is to learn practical things over theoretical 
10-08-2022 22:32,22,Male,BCA,8/28/2020,Nope,"Parents told to apply for this course and that time
I have no idea about college studies. ",At that time i was planning to join BE.,Parents and family people advised me a lot that not to join BE,To Become a successful Data analyst or Data engineer ,7,"Whenever I face stressed, that time I use to go for sleep",Yes it is!,All university should have to conduct entrance exam to check the capacity of the student.,5,4,3,2,1,8,10,"Work hard in silence let your success make noise. 
No more excuses. All great and precious things are lonely. Don't be afraid to give up the good and to go for the great. ",To become a Good human being on this planet earth 🌏 ,Vote for aam aadmi party.,Do get knowledge 
10-08-2022 22:38,22,Male,Msc,06-05-2023,Yes,Passion ,Yes,My passion towards physics ,To complete my course successfully ,8,Sleeping ,No. There is a lot of scope for improvement ,Barbaric and treacherous ,1,2,4,3,5,9,6,Success is when you are compared as an example rather than told about other examples,For a better world ,Well to reduce the competition in one field and equal opportunity in all the fields. And not to discriminate the students by the course they take and how much content they can memorize. ,Personal choice 
10-08-2022 22:40,22,Female,Genetics,06-01-2023,Yes,Interest in Diseases,Definitely yes!,Nothing.,Researcher,10,YouTube.,Yes.,It's useful to some extent.,3,4,1,2,5,8,8,Being happy.,Contribute to the cue of diseases.,Give more assignments that involve research related work or reading research papers.,It's easier to understand the current scenario. 
10-08-2022 22:42,23,Female,Data science ,6/30/2023,Yes,Job opportunity ,Statistics ,New field of learning ,To be placed and learn more,5,Hearing music ,It's going good ,Only thus we can know our level of knowledge ,2,3,4,1,5,8,6,Hardwork & smartwork,Learn more ,Practical knowledge should be encouraged ,It should be practiced 
10-08-2022 22:43,22,Male,M. Sc. Data Science ,06-01-2023,Yes,Because this technology is emerging in computer field and in this field career future is good. ,Yes,NA,Get job in good company ,5,"Listening music, playing game, etc. ",Definitely not. It is mostly about how much you can mug up before the exam day rather than actually applying the concept. ,It's really good level of entrance exam,2,1,3,4,5,8,9,"If I achieve what I want to and are happy, then I think that is success. ","I want to gain knowledge, skills and experience to help you both in your career and in life in general. ","Better Standards, Parent Involvement, Periodic Assessments, Skill based Learning, etc. ","Had a inclination towards finding insights, hence ended up taking data science. 
"
10-08-2022 22:44,21,Female,Msc Data Science ,10-08-2023,Yeah.. it's great,Python,Yah it's my first preference ,Interest of computer knowledge ,To be placed data analyst domain company ,3,Just relax to hear some songs,Yah it's good but the efficient knowlegde like SQL and DBMS are to be included in syllabus is more useful to prepare placement exam for students ,It's good way to get more knowledge ,1,2,3,4,5,9,9,To get satisfaction with honesty ,To get more knowledge and placed a higher position company ,The way of education will be more understable to teach the way to connect with real life examples.,Interest of programming language 
